Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
645,0,0,0,0,50,0,0,0
645,5,0,0,0,19350,19350,0,0
645,6,0,0,0,25300,25300,0,0
645,7,0,0,0,36650,36650,0,0
645,8,0,0,0,37600,37600,0,0
645,9,0,0,0,39950,39950,0,0
645,9,1,0,0,47900,39950,0,0
645,10,1,0,0,50500,50500,0,0
645,11,1,0,0,58650,58650,0,0
645,12,1,0,0,62500,62500,0,0
645,13,1,0,0,65200,65200,0,0
645,14,1,0,0,65400,65400,0,0
645,14,2,0,0,68350,65400,0,0
645,15,2,0,0,68550,68550,0,0
645,16,2,0,0,74600,74600,0,0
645,16,3,0,0,75550,74600,0,0
645,17,3,0,0,75850,75850,0,0
645,18,3,0,0,76050,76050,0,0
645,19,3,0,0,79450,79450,0,0
645,20,3,0,0,79550,79550,0,0
645,21,3,0,0,81700,81700,0,0
645,22,3,0,0,83100,83100,0,0
645,23,3,0,0,83250,83250,0,0
645,24,3,0,0,83950,83950,0,0
645,25,3,0,0,87050,87050,0,0
645,26,3,0,0,87400,87400,0,0
645,27,3,0,0,87850,87850,0,0
645,27,4,0,0,88750,87850,0,0
645,28,4,0,0,89150,89150,0,0
645,29,4,0,0,89450,89450,0,0
645,30,4,0,0,90450,90450,0,0
645,30,4,1,0,91100,90450,91100,0
645,31,4,1,0,93000,93000,91100,0
645,32,4,1,0,93100,93100,91100,0
645,33,4,1,0,94100,94100,91100,0
645,33,5,1,0,99200,94100,91100,0
645,34,5,1,0,99350,99350,91100,0
645,35,5,1,0,101700,101700,91100,0
645,35,6,1,0,102050,101700,91100,0
645,35,7,1,0,102650,101700,91100,0
645,36,7,1,0,106250,106250,91100,0
645,36,8,1,0,106300,106250,91100,0
645,37,8,1,0,108050,108050,91100,0
645,38,8,1,0,108350,108350,91100,0
645,39,8,1,0,109950,109950,91100,0
645,39,9,1,0,110600,109950,91100,0
645,39,9,2,0,111550,109950,111550,0
645,39,10,2,0,113350,109950,111550,0
645,40,10,2,0,113400,113400,111550,0
645,40,11,2,0,113450,113400,111550,0
645,41,11,2,0,115250,115250,111550,0
645,41,12,2,0,116100,115250,111550,0
645,42,12,2,0,116150,116150,111550,0
645,42,13,2,0,117150,116150,111550,0
645,43,13,2,0,117300,117300,111550,0
645,43,13,3,0,118750,117300,118750,0
645,44,13,3,0,119200,119200,118750,0
645,45,13,3,0,121500,121500,118750,0
645,45,14,3,0,124200,121500,118750,0
645,45,15,3,0,125050,121500,118750,0
645,46,15,3,0,125750,125750,118750,0
645,47,15,3,0,126100,126100,118750,0
645,48,15,3,0,127250,127250,118750,0
645,48,16,3,0,130650,127250,118750,0
645,49,16,3,0,130900,130900,118750,0
645,49,17,3,0,131200,130900,118750,0
645,49,17,4,0,131950,130900,131950,0
645,50,17,4,0,132350,132350,131950,0
645,51,17,4,0,135400,135400,131950,0
645,51,18,4,0,136250,135400,131950,0
645,52,18,4,0,136950,136950,131950,0
645,52,18,5,0,142400,136950,142400,0
645,53,18,5,0,144700,144700,142400,0
645,53,18,6,0,145250,144700,145250,0
645,53,19,6,0,145500,144700,145250,0
645,53,20,6,0,145700,144700,145250,0
645,53,20,6,1,145850,144700,145250,145850
645,54,20,6,1,148200,148200,145250,145850
645,54,21,6,1,148500,148200,145250,145850
645,55,21,6,1,149150,149150,145250,145850
645,55,21,7,1,149500,149150,149500,145850
645,55,22,7,1,150100,149150,149500,145850
645,55,23,7,1,150950,149150,149500,145850
645,56,23,7,1,152800,152800,149500,145850
645,56,23,8,1,153800,152800,153800,145850
645,56,24,8,1,153950,152800,153800,145850
645,56,25,8,1,154400,152800,153800,145850
645,57,25,8,1,155100,155100,153800,145850
645,57,25,9,1,156550,155100,156550,145850
645,57,25,10,1,156650,155100,156650,145850
645,58,25,10,1,156700,156700,156650,145850
645,58,26,10,1,157600,156700,156650,145850
645,59,26,10,1,158300,158300,156650,145850
645,59,26,11,1,159300,158300,159300,145850
645,59,26,12,1,160350,158300,160350,145850
645,60,26,12,1,162150,162150,160350,145850
645,61,26,12,1,162500,162500,160350,145850
645,62,26,12,1,162750,162750,160350,145850
645,63,26,12,1,165850,165850,160350,145850
645,63,27,12,1,166050,165850,160350,145850
645,64,27,12,1,167000,167000,160350,145850
645,64,27,13,1,167400,167000,167400,145850
645,64,28,13,1,168050,167000,167400,145850
645,64,28,14,1,168250,167000,168250,145850
645,65,28,14,1,169500,169500,168250,145850
645,66,28,14,1,169600,169600,168250,145850
645,67,28,14,1,173500,173500,168250,145850
645,67,28,15,1,173850,173500,173850,145850
645,67,28,16,1,174400,173500,174400,145850
645,68,28,16,1,175600,175600,174400,145850
645,69,28,16,1,175950,175950,174400,145850
645,69,29,16,1,177400,175950,174400,145850
645,69,30,16,1,178550,175950,174400,145850
645,69,30,17,1,179450,175950,179450,145850
645,70,30,17,1,180150,180150,179450,145850
645,71,30,17,1,180250,180250,179450,145850
645,71,31,17,1,180600,180250,179450,145850
645,72,31,17,1,181950,181950,179450,145850
645,72,32,17,1,183000,181950,179450,145850
645,73,32,17,1,183350,183350,179450,145850
645,74,32,17,1,186350,186350,179450,145850
645,75,32,17,1,187950,187950,179450,145850
645,76,32,17,1,188050,188050,179450,145850
645,76,32,18,1,188700,188050,188700,145850
645,76,32,19,1,188900,188050,188900,145850
645,76,33,19,1,189250,188050,188900,145850
645,77,33,19,1,191150,191150,188900,145850
645,77,34,19,1,191250,191150,188900,145850
645,77,34,20,1,191700,191150,191700,145850
645,77,35,20,1,192450,191150,191700,145850
645,77,35,21,1,193300,191150,193300,145850
645,77,36,21,1,194050,191150,193300,145850
645,77,36,22,1,194150,191150,194150,145850
645,78,36,22,1,194750,194750,194150,145850
645,79,36,22,1,194850,194850,194150,145850
645,81,36,22,1,195100,195100,194150,145850
645,81,37,22,1,195650,195100,194150,145850
645,82,37,22,1,195750,195750,194150,145850
645,82,38,22,1,196350,195750,194150,145850
645,82,38,23,1,197150,195750,197150,145850
645,82,38,24,1,197600,195750,197600,145850
645,83,38,24,1,200400,200400,197600,145850
645,83,38,25,1,200800,200400,200800,145850
645,84,38,25,1,202450,202450,200800,145850
645,85,38,25,1,202800,202800,200800,145850
645,85,39,25,1,203400,202800,200800,145850
645,86,39,25,1,204100,204100,200800,145850
645,87,39,25,1,205550,205550,200800,145850
645,87,40,25,1,205750,205550,200800,145850
645,88,40,25,1,205900,205900,200800,145850
645,88,41,25,1,206700,205900,200800,145850
645,88,42,25,1,206800,205900,200800,145850
645,89,42,25,1,208250,208250,200800,145850
645,90,42,25,1,209100,209100,200800,145850
645,91,42,25,1,209200,209200,200800,145850
645,91,42,26,1,209250,209200,209250,145850
645,92,42,26,1,209400,209400,209250,145850
645,93,42,26,1,210350,210350,209250,145850
645,93,43,26,1,210950,210350,209250,145850
645,93,43,27,1,211250,210350,211250,145850
645,94,43,27,1,211600,211600,211250,145850
645,95,43,27,1,212450,212450,211250,145850
645,96,43,27,1,212650,212650,211250,145850
645,97,43,27,1,213800,213800,211250,145850
645,97,44,27,1,214450,213800,211250,145850
645,97,45,27,1,214650,213800,211250,145850
645,99,45,27,1,216100,216100,211250,145850
645,99,46,27,1,216300,216100,211250,145850
645,100,46,27,1,216450,216450,211250,145850
645,101,46,27,1,216800,216800,211250,145850
645,101,47,27,1,217850,216800,211250,145850
645,101,48,27,1,218000,216800,211250,145850
645,103,48,27,1,219750,219750,211250,145850
645,104,48,27,1,219850,219850,211250,145850
645,104,48,28,1,220600,219850,220600,145850
645,104,49,28,1,221600,219850,220600,145850
645,104,49,29,1,221750,219850,221750,145850
645,104,50,29,1,223200,219850,221750,145850
645,106,50,29,1,223250,223250,221750,145850
645,106,51,29,1,223300,223250,221750,145850
645,107,51,29,1,223550,223550,221750,145850
645,107,51,30,1,223800,223550,223800,145850
645,108,51,30,1,224100,224100,223800,145850
645,108,52,30,1,224450,224100,223800,145850
645,109,52,30,1,224750,224750,223800,145850
645,109,53,30,1,225300,224750,223800,145850
645,109,53,31,1,226200,224750,226200,145850
645,110,53,31,1,226400,226400,226200,145850
645,110,54,31,1,226900,226400,226200,145850
645,111,54,31,1,230450,230450,226200,145850
645,112,54,31,1,230550,230550,226200,145850
645,113,54,31,1,230650,230650,226200,145850
645,114,54,31,1,231250,231250,226200,145850
645,114,55,31,1,231350,231250,226200,145850
645,115,55,31,1,231850,231850,226200,145850
645,115,55,32,1,232450,231850,232450,145850
645,116,55,32,1,232700,232700,232450,145850
645,116,56,32,1,232850,232700,232450,145850
645,116,56,33,1,234450,232700,234450,145850
645,117,56,33,1,234750,234750,234450,145850
645,118,56,34,1,235650,235650,235650,145850
645,118,57,34,1,236150,235650,235650,145850
645,119,57,34,1,236200,236200,235650,145850
645,120,57,34,1,236700,236700,235650,145850
645,120,57,35,1,237250,236700,237250,145850
645,122,57,35,1,237700,237700,237250,145850
645,123,57,35,1,237800,237800,237250,145850
645,124,57,35,1,237900,237900,237250,145850
645,125,57,35,1,238000,238000,237250,145850
645,127,57,35,1,238100,238100,237250,145850
645,127,58,35,1,238600,238100,237250,145850
645,127,58,36,1,238850,238100,238850,145850
645,127,59,36,1,239050,238100,238850,145850
645,127,59,36,2,239550,238100,238850,239550
645,129,59,36,2,241250,241250,238850,239550
645,130,59,36,2,242000,242000,238850,239550
645,131,59,36,2,242750,242750,238850,239550
645,131,60,36,2,243650,242750,238850,239550
645,132,60,36,2,243900,243900,238850,239550
645,133,60,36,2,244100,244100,238850,239550
645,133,61,36,2,244550,244100,238850,239550
645,134,61,36,2,245000,245000,238850,239550
645,135,61,36,2,245100,245100,238850,239550
645,137,61,36,2,245700,245700,238850,239550
645,138,61,37,2,246600,246600,246600,239550
645,139,61,37,2,248500,248500,246600,239550
645,140,61,37,2,248650,248650,246600,239550
645,141,61,37,2,248900,248900,246600,239550
645,141,61,37,3,248950,248900,246600,248950
645,142,61,37,3,249150,249150,246600,248950
645,143,61,37,3,249250,249250,246600,248950
645,144,61,37,3,249550,249550,246600,248950
645,146,61,37,3,249650,249650,246600,248950
645,147,61,37,3,249800,249800,246600,248950
645,147,61,38,3,249900,249800,249900,248950
645,148,62,38,4,250000,250000,249900,250000
645,149,62,38,4,251450,251450,249900,250000
645,150,62,38,4,251950,251950,249900,250000
645,152,62,38,4,252200,252200,249900,250000
645,152,63,38,4,252350,252200,249900,250000
645,152,64,38,4,252750,252200,249900,250000
645,153,64,38,4,253350,253350,249900,250000
645,155,64,38,4,253600,253600,249900,250000
645,155,64,39,4,254150,253600,254150,250000
645,156,64,39,4,254200,254200,254150,250000
645,157,64,39,4,255150,255150,254150,250000
645,158,64,39,4,255500,255500,254150,250000
645,159,64,39,4,255750,255750,254150,250000
645,160,64,39,4,256100,256100,254150,250000
645,161,64,39,4,256200,256200,254150,250000
645,162,64,39,4,257000,257000,254150,250000
645,163,64,39,4,257100,257100,254150,250000
645,164,64,39,4,257450,257450,254150,250000
645,164,65,39,4,257500,257450,254150,250000
645,165,65,39,4,257550,257550,254150,250000
645,165,65,40,4,257650,257550,257650,250000
645,166,65,40,5,257850,257850,257650,257850
645,166,66,40,5,259350,257850,257650,257850
645,167,66,40,5,259450,259450,257650,257850
